Name,14:0,14:1 (n-5),15:0,16:0,16:1 (n-7)c,16:1 (n-7)t,18:0,18:1(n-7),18:1(n-9),18:2 (n-6)cc,18:2 (n-6)tt,"18:2 (n-7,9) Conju",18:3 (n-3),18:3 (n-6),18:4 (n-3),19:0,20:0,20:1,20:2 (n-6),20:3 (n-6),20:4 (n-6),20:5 (n-3),20:5 (n-6),21:0,22:0,22:1,22:2 (n-6),22:4 (n-6),22:5 (n-3),22:5 (n-6),22:6 (n-3),24:0,24:1,Sum (n mol),Sum (u mol),Total n-3 (n mol),Total n-6 (n mol),Ratio n6/n3,%14:0,%14:1 (n-5),%15:0,%16:0,%16:1 (n-7)c,%16:1 (n-7)t,%18:0,%18:1(n-7),%18:1(n-9),%18:2 (n-6)cc,%18:2 (n-6)tt,"%18:2 (n-7,9) Conju",%18:3 (n-3),%18:3 (n-6),%18:4 (n-3),%19:0,%20:0,%20:1,%20:2 (n-6),%20:3 (n-6),%20:4 (n-6),%20:5 (n-3),%20:5 (n-6),%21:0,%22:0,%22:1,%22:2 (n-6),%22:4 (n-6),%22:5 (n-3),%22:5 (n-6),%22:6 (n-3),%24:0,%24:1,SFAsum,MUFAsum,PUFAsum,SumLCFA,%SFA,%MUFA,%PUFA,Genotype,%n3,%n6,MUFA/SFA
8466,485.70,0.85,7.72,1208.59,99.41,7.88,224.25,296.16,1090.99,730.90,7.73,1.47,29.29,5.26,51.84,1.94,3.99,6.20,82.51,39.34,55.17,10.05,4.04,2.11,1.51,6.52,7.33,21.38,26.31,0.30,36.88,2.82,5.95,4562.40,4.56,154.37,953.96,6.18,10.64575256,0.018679503,0.169293961,26.49029367,2.178826533,0.172710032,4.91510832,6.491414926,23.9127074,16.02011196,0.169358951,0.032283027,0.642030521,0.115217645,1.136219727,0.042521475,0.087438383,0.135978047,1.808375572,0.862272386,1.209173479,0.2202546,0.088638423,0.046290417,0.033009704,0.142916488,0.160727991,0.468656103,0.576602765,0.006646277,0.808365691,0.061702651,0.130420814,1938.63,1513.97,1109.80,4562.40,42.49141114,33.18365375,24.32493512,KO,3.383473304,20.90917879,0.780949676
8161,507.88,10.70,7.51,1519.09,137.82,9.69,307.43,324.79,1564.60,770.81,5.32,1.98,32.88,3.65,89.04,8.96,3.67,0.96,74.46,37.46,56.23,8.78,4.58,2.13,1.70,8.46,1.25,17.07,24.12,0.18,31.85,3.69,7.47,5586.23,5.59,186.68,971.01,5.20,9.091648834,0.191543607,0.134451336,27.19355268,2.467069587,0.173400134,5.503379177,5.814120641,28.00824816,13.79835056,0.095321509,0.035490252,0.588578647,0.065316721,1.593978328,0.160394453,0.065764966,0.017198497,1.332850913,0.670545162,1.006519788,0.15726103,0.081973051,0.038049824,0.030513056,0.151423054,0.022436296,0.305662087,0.431810223,0.003293911,0.570105739,0.066083316,0.133664464,2362.07,2064.48,1159.67,5586.23,42.28383764,36.95666815,20.75949422,KO,3.341733967,17.38227,0.874014049
7983,759.53,4.07,8.61,1536.74,145.37,9.66,228.84,361.22,1446.82,731.64,2.39,1.31,36.57,4.09,69.14,2.77,1.22,1.50,73.73,32.78,46.26,5.16,3.10,1.17,2.07,6.65,4.70,15.10,23.50,0.28,29.33,1.35,4.15,5600.83,5.60,163.71,914.07,5.58,13.5610906,0.072710947,0.153646116,27.43772692,2.595489784,0.172552996,4.085759231,6.449380892,25.8322147,13.0631461,0.042747784,0.023446577,0.653022285,0.073041415,1.234422785,0.049469898,0.0217571,0.026821204,1.316341908,0.58528793,0.825892457,0.092082828,0.055424607,0.020876416,0.036922977,0.118725658,0.083837187,0.26963321,0.419613222,0.004991061,0.523742382,0.024084606,0.074096223,2542.29,1979.44,1079.09,5600.83,45.39133386,35.3419924,19.26667374,KO,2.922883502,16.32034366,0.778606606
7984,639.81,2.89,8.70,1262.74,117.24,13.91,252.60,333.74,1363.40,911.57,4.10,0.94,33.44,6.82,57.07,2.16,4.46,1.27,66.37,38.30,64.42,12.02,6.02,2.71,1.24,6.66,1.32,20.33,27.53,0.36,51.58,8.18,5.66,5329.57,5.33,181.64,1119.60,6.16,12.00488987,0.054258619,0.163216796,23.69303213,2.199725804,0.261018155,4.739536922,6.262130252,25.58181872,17.10394895,0.076911964,0.01764671,0.627488324,0.127942205,1.070754264,0.04061706,0.083777247,0.023849268,1.245306509,0.718598037,1.20873557,0.225556136,0.112932225,0.05079708,0.023355422,0.124968865,0.024792073,0.381522946,0.516521352,0.006673763,0.967895306,0.153501171,0.106280274,2182.60,1844.78,1302.19,5329.57,40.9527237,34.61404996,24.43322634,KO,3.408215383,21.00736425,0.845219727
8465,622.14,3.11,8.38,1434.52,147.63,19.41,276.08,312.43,1620.06,981.39,13.76,0.84,44.21,8.06,85.13,3.73,5.33,3.06,98.03,44.09,65.03,10.91,6.24,3.92,2.27,8.81,6.51,22.60,28.26,0.37,48.26,3.04,7.37,5944.97,5.94,216.76,1246.07,5.75,10.46501035,0.052262084,0.141012901,24.13007193,2.483218106,0.32655371,4.643931642,5.255325167,27.25087941,16.50795791,0.231396938,0.014203351,0.743641903,0.135497302,1.43193041,0.062724135,0.089718041,0.051403184,1.649015745,0.741649562,1.09391191,0.183461763,0.104885448,0.065883751,0.038262629,0.148153956,0.109480452,0.380079018,0.475389009,0.006255986,0.811695781,0.051125618,0.1240109,2359.42,2121.87,1463.68,5944.97,39.687741,35.69180651,24.62045249,KO,3.646118866,20.96013027,0.899315648
8162,896.00,4.57,7.60,1873.56,176.15,18.06,295.03,267.77,1563.72,1002.78,5.27,1.33,47.99,10.07,57.55,8.45,5.61,6.46,73.83,43.67,64.84,12.87,6.53,2.33,2.11,6.81,5.27,22.17,27.60,0.35,36.92,3.26,5.82,6562.35,6.56,182.93,1234.79,6.75,13.65360421,0.069633298,0.115859337,28.55004854,2.684209897,0.27519802,4.495844003,4.080459996,23.82867683,15.28084611,0.080352791,0.020278911,0.731313746,0.153507091,0.876898338,0.128815257,0.085546757,0.098440292,1.125012157,0.665499894,0.988015438,0.196097275,0.099441879,0.035435326,0.032089088,0.103720251,0.080234694,0.337880844,0.420539573,0.005406247,0.56266648,0.049716443,0.088710993,3093.95,2049.36,1419.04,6562.35,47.14695895,31.22904958,21.62399147,WT,2.787515413,18.81619715,0.662376753
8445,997.20,4.90,8.00,1954.21,170.55,18.56,291.84,349.92,1368.29,1031.54,1.10,3.37,43.37,9.54,43.37,1.75,5.26,0.88,65.15,40.34,63.79,18.82,3.13,2.10,1.47,5.53,1.77,21.16,27.04,0.36,35.13,3.21,4.78,6597.43,6.60,167.73,1237.89,7.38,15.11501265,0.07425259,0.121194374,29.62077567,2.585067407,0.281306685,4.423607044,5.303915767,20.73978725,15.6354644,0.016650246,0.051094667,0.657303211,0.144664433,0.657351516,0.026460996,0.079701878,0.0133567,0.987459168,0.611408061,0.966912155,0.285336248,0.047516,0.031804912,0.022235512,0.083851347,0.026896033,0.320742983,0.409865873,0.005432663,0.532436063,0.048621951,0.072513544,3265.03,1923.42,1408.98,6597.43,49.48941499,29.15405129,21.35653372,WT,2.542292911,18.76314614,0.589096705
8444,550.27,2.78,8.63,1447.26,104.37,11.56,300.76,261.79,1240.89,848.40,0.55,2.30,32.80,5.23,64.10,2.21,5.24,0.99,80.87,27.96,59.74,5.01,0.62,3.39,1.85,7.94,1.08,27.03,23.81,0.23,25.23,3.49,6.85,5165.24,5.17,150.95,1051.72,6.97,10.65333115,0.053862142,0.167123909,28.01924973,2.020530813,0.223781514,5.822715068,5.068335546,24.02379058,16.42519524,0.010670182,0.044536206,0.635025299,0.10131486,1.241039294,0.042858811,0.10149301,0.019092635,1.565748247,0.541296149,1.156608605,0.09693944,0.012068149,0.065652679,0.035858281,0.153725876,0.020825315,0.523388583,0.460898722,0.004408142,0.488520308,0.067481342,0.132634174,2323.11,1637.16,1204.97,5165.24,44.97576398,31.69575328,23.32848274,WT,2.922423063,20.36152347,0.704729625
8446,553.48,2.73,8.41,1401.64,124.93,14.30,243.29,260.63,1251.38,776.70,0.98,1.05,29.96,7.13,1.79,1.91,3.52,58.26,55.82,32.99,58.10,14.28,4.84,3.02,1.19,6.22,1.97,17.03,20.47,0.28,25.54,2.75,5.30,4991.90,4.99,92.04,955.84,10.39,11.08751513,0.054593494,0.168513521,28.07831188,2.502719413,0.286432837,4.873665676,5.221061959,25.06826042,15.5592825,0.019565004,0.021125742,0.600183542,0.142771976,0.035867295,0.038340732,0.070517495,1.167061862,1.118246499,0.66095407,1.163969511,0.285997273,0.09688574,0.060576913,0.023936239,0.1245229,0.0394737,0.341159842,0.409968745,0.00554893,0.511726728,0.055070771,0.106171659,2219.22,1723.74,1048.93,4991.90,44.45644836,34.53082455,21.01272709,WT,1.843743583,19.14785777,0.776733766
8467,966.26,4.90,8.90,2231.92,155.17,10.41,345.96,407.51,1724.85,1076.96,2.78,2.24,44.37,7.64,92.39,5.58,6.33,1.18,110.79,57.55,74.72,11.31,10.49,3.58,4.11,10.15,4.56,28.57,34.01,0.25,36.77,3.54,7.78,7493.51,7.49,218.85,1374.30,6.28,12.89458668,0.065374458,0.118803012,29.78466015,2.07076112,0.138857671,4.616831606,5.438109748,23.01786278,14.37185363,0.03703618,0.029882828,0.592074192,0.101949236,1.232950806,0.074462406,0.084414419,0.015789635,1.478433754,0.768028994,0.997172235,0.150967011,0.13995763,0.04776096,0.054847957,0.135516687,0.060793887,0.381263512,0.453921718,0.003370275,0.490674603,0.047175128,0.103855091,3576.17,2321.95,1595.39,7493.51,47.72354232,30.98612719,21.29033049,WT,2.920588329,18.33985933,0.64928389