Sample,Dilution,Well,Raw,"Background
Corrected",Conc.
Control,,B7,0.111,0.043,64.63
160b,5,A1,0.297,0.229,1688
Unknown2,5,B1,0.299,0.231,1703
Unknown3,5,C1,0.108,0.04,300
Unknown4,5,D1,0.118,0.05,376.6
Unknown5,5,E1,0.102,0.034,253.5
Unknown6,5,F1,0.118,0.05,376.6
Unknown7,5,G1,0.106,0.038,284.6
Unknown8,5,H1,0.092,0.024,174.5
Unknown9,5,A2,0.25,0.182,1347
Unknown10,5,B2,0.365,0.297,2184
Unknown11,5,C2,0.197,0.129,961.8
Unknown12,5,D2,0.208,0.14,1042
Unknown13,5,E2,0.149,0.081,609.2
Unknown14,5,F2,0.195,0.127,947.2
Unknown15,5,G2,0.165,0.097,727.4
Unknown16,5,H2,0.181,0.113,844.9
Unknown17,5,A3,0.282,0.214,1579
Unknown18,5,B3,0.278,0.21,1550
Unknown19,5,C3,0.148,0.08,601.8
Unknown20,5,D3,0.152,0.084,631.4
Unknown21,5,E3,0.122,0.054,407
Unknown22,5,F3,0.13,0.062,467.4
Unknown23,5,G3,0.117,0.049,369
Unknown24,5,H3,0.227,0.159,1180
Unknown25,5,A4,0.229,0.161,1195
Unknown26,5,B4,0.126,0.058,437.3
Unknown27,5,C4,0.12,0.052,391.8
Unknown28,5,D4,0.114,0.046,346.1
Unknown29,5,E4,0.127,0.059,444.8
Unknown30,5,F4,0.103,0.035,261.3
Unknown31,5,G4,0.138,0.07,527.3
Unknown32,5,H4,0.174,0.106,793.6
Unknown33,5,A5,0.157,0.089,668.4
Unknown34,5,B5,0.121,0.053,399.4
Unknown35,5,C5,0.12,0.052,391.8
Unknown36,5,D5,0.14,0.072,542.3
Unknown37,5,E5,0.132,0.064,482.4
Unknown38,5,F5,0.105,0.037,276.8
Unknown39,5,G5,0.12,0.052,391.8
Unknown40,5,H5,0.111,0.043,323.1
Unknown41,5,A6,0.108,0.04,300
Unknown42,5,B6,0.105,0.037,276.8
Unknown43,5,C6,0.161,0.093,698
Unknown44,5,D6,0.111,0.043,323.1
Unknown45,5,E6,0.113,0.045,338.5
Unknown46,5,F6,0.153,0.085,638.8
Unknown47,5,G6,0.117,0.049,369
Unknown48,5,H6,0.13,0.062,467.4
Unknown49,5,A7,0.118,0.05,376.6
Blank,,H8,0.068,0,< Curve